N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"75,400",700,+0.94%,100,"4,501,216","5,969,783",52.14,"17,363,579",14.62,9.99,
2,LG에너지솔루션,"474,500","36,500",-7.14%,500,"1,110,330","234,000",4.07,"2,289,938",321.69,N/A,
3,SK하이닉스,"129,500","3,500",+2.78%,"5,000","942,763","728,002",50.05,"7,159,807",11.71,9.53,
4,삼성전자우,"69,000","1,400",+2.07%,100,"567,792","822,887",74.74,"881,999",13.37,N/A,
5,NAVER,"331,500","5,500",+1.69%,100,"543,823","164,049",55.14,"699,736",3.28,15.22,
6,삼성바이오로직스,"776,000","3,000",+0.39%,"2,500","513,440","66,165",10.52,"51,209",125.08,N/A,
7,LG화학,"661,000","51,000",+8.36%,"5,000","466,615","70,592",49.23,"689,421",17.22,2.93,
8,현대차,"185,500",500,+0.27%,"5,000","396,354","213,668",27.47,"1,278,389",9.40,2.04,
9,삼성SDI,"569,000","3,000",+0.53%,"5,000","391,270","68,765",44.35,"293,682",35.69,4.54,
10,카카오,"87,300","1,200",+1.39%,100,"389,276","445,906",28.48,"3,355,494",34.37,2.70,
11,기아,"79,700",600,-0.75%,"5,000","323,075","405,363",35.29,"1,409,004",7.22,5.05,
12,KB금융,"65,500","1,700",+2.66%,"5,000","272,354","415,808",71.61,"2,286,287",6.26,8.53,
13,POSCO,"280,000","2,000",-0.71%,"5,000","244,123","87,187",52.71,"308,452",4.19,3.61,
14,셀트리온,"160,500",0,0.00%,"1,000","221,405","137,947",20.59,"391,502",40.84,16.68,
15,현대모비스,"231,500",500,-0.22%,"5,000","218,937","94,573",34.27,"203,169",9.32,4.66,
16,LG전자,"128,500",500,-0.39%,"5,000","210,287","163,648",28.56,"1,301,559",18.54,13.23,
17,신한지주,"40,500",100,-0.25%,"5,000","209,223","516,600",61.64,"2,074,596",5.38,8.20,
18,삼성물산,"109,000","1,000",+0.93%,100,"203,707","186,887",15.63,"485,857",12.40,3.81,
19,카카오뱅크,"42,800","1,400",-3.17%,"5,000","203,368","475,159",15.57,"3,718,563",138.51,5.08,
